date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:13:37	860/860	---M--	200	added ('OK')	image/png	etag:%2235c-5330e003b5380%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/conc_h2_001.png	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/conc_h2_001.png	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:37	2989/2989	---M--	200	added ('OK')	image/png	etag:%22bad-5330e004a95c0%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/conc_txt_001.png	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/conc_txt_001.png	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:37	36061/36061	---M--	200	added ('OK')	image/jpeg	etag:%2291ac-5330e003b5380%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/conc_pic_001.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/conc_pic_001.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:37	33583/33583	---M--	200	added ('OK')	image/jpeg	etag:%22882a-5330e003b5380%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/bnr_003.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/bnr_003.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:38	10362/10362	---M--	200	added ('OK')	text/html	date:Tue,%2025%20Sep%202018%2015:13:47%20GMT	https://global.yamaha-motor.com/showroom/papercraft/racing/interview/	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/interview/index.html	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:38	1492/1492	---M--	200	added ('OK')	image/png	etag:%228c0-5330e004a95c0%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/detl_h2_001.png	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/detl_h2_001.png	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:39	551/551	---M--	200	added ('OK')	image/png	etag:%22239-5330e004a95c0%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/detl_h3_001.png	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/detl_h3_001.png	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:39	97767/97767	---M--	200	added ('OK')	image/jpeg	etag:%2218b2b-5330e004a95c0%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/detl_pic_001.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/detl_pic_001.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:40	2167/2167	---M--	200	added ('OK')	image/png	etag:%22877-5330e004a95c0%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/detl_h3_002.png	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/detl_h3_002.png	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:41	72729/72729	---M--	200	added ('OK')	image/jpeg	etag:%22126b7-5330e00a62340%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_001.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/photo/photo_thumb_001.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
